Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eXAC1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.4037,0.40000004,0.0,1.4314197,1.0,0.99199355,1.0,0.9959842
1e-10,34.4037,0.40000004,-2.9495076e-19,1.4314197,1.0,0.99199355,1.0,0.9959842
0.002,34.4037,0.40000004,-5.8984957e-12,1.4314197,1.0,0.99199355,1.0,0.9959842
0.004,34.4037,0.40000004,-1.179498e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.006,34.4037,0.40000004,-1.7687588e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.008,34.4037,0.40000004,-2.3576186e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.01,34.4037,0.40000004,-2.9456434e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.012,34.4037,0.40000004,-3.5329125e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.014,34.4037,0.40000004,-4.119457e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.016,34.4037,0.40000004,-4.7052764e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.018,34.4037,0.40000004,-5.2891472e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.02,34.4037,0.40000004,-5.871447e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.022,34.4037,0.40000004,-6.452405e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.024,34.4037,0.40000004,-7.0320215e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.026,34.4037,0.40000004,-7.6102964e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.028,34.4037,0.40000004,-8.1872294e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.03,34.4037,0.40000004,-8.762821e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.032,34.4037,0.40000004,-9.3370714e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.034,34.4037,0.40000004,-9.9070294e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.036,34.4037,0.40000004,-1.04729364e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
