Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.4037,0.40000004,0.0,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,34.4037,0.40000004,-5.1550495e-19,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.002,34.4037,0.40000004,-1.0309592e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.004,34.4037,0.40000004,-2.0618056e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.006,34.4037,0.40000004,-3.0925183e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.008,34.4037,0.40000004,-4.1230956e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.01,34.4037,0.40000004,-5.1534863e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.012,34.4037,0.40000004,-6.1836994e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.014,34.4037,0.40000004,-7.213739e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.016,34.4037,0.40000004,-8.243605e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.018,34.4037,0.40000004,-9.273143e-11,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.02,34.4037,0.40000004,-1.0302399e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.022,34.4037,0.40000004,-1.13314046e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.024,34.4037,0.40000004,-1.2360159e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.026,34.4037,0.40000004,-1.3388661e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.028,34.4037,0.40000004,-1.4416911e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.03,34.4037,0.40000004,-1.5444909e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.032,34.4037,0.40000004,-1.6472657e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.034,34.4037,0.40000004,-1.7499727e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.036,34.4037,0.40000004,-1.8526154e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.038,34.4037,0.40000004,-1.9552174e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.04,34.4037,0.40000004,-2.0577785e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.042,34.4037,0.40000004,-2.1602989e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.044,34.4037,0.40000004,-2.2627783e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.046,34.4037,0.40000004,-2.365217e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.048,34.4037,0.40000004,-2.4676147e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.05,34.4037,0.40000004,-2.5699717e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.052,34.4037,0.40000004,-2.672288e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.054,34.4037,0.40000004,-2.7745634e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.056,34.4037,0.40000004,-2.876798e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.058,34.4037,0.40000004,-2.9789918e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.06,34.4037,0.40000004,-3.0811445e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
