Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.400000025247788,0.4,0.0,1.4314197089012368,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053214,0.4000000252451747,0.4,-5.898536522493991e-12,1.4314197089012366,0.9999999913061286,0.9919935378249731,0.9999999954927712,0.9959841726475223
0.004,34.403699900213645,0.4000000252373747,0.4,-1.179530417826303e-11,1.431419708901234,0.9999999913063404,0.9919935378251504,0.9999999954928763,0.9959841726476615
0.006,34.40369989968291,0.40000002522444655,0.4,-1.7689098275889535e-11,1.4314197089012228,0.999999991306693,0.9919935378254447,0.9999999954930511,0.9959841726478927
0.008,34.403699898940076,0.40000002520644784,0.4,-2.3578727629940074e-11,1.431419708901194,0.9999999913071853,0.9919935378258558,0.999999995493295,0.9959841726482157
0.01,34.403699897985305,0.40000002518343597,0.4,-2.9463014755513784e-11,1.4314197089011356,0.9999999913078172,0.9919935378263824,0.9999999954936079,0.9959841726486295
0.012,34.403699896818814,0.4000000251554669,0.4,-3.5340795375386366e-11,1.4314197089010332,0.9999999913085875,0.991993537827024,0.9999999954939889,0.9959841726491337
0.014,34.40369989544086,0.40000002512259586,0.4,-4.12109184783746e-11,1.4314197089008707,0.9999999913094958,0.9919935378277799,0.999999995494438,0.9959841726497278
0.016,34.40369989385173,0.40000002508487775,0.4,-4.7072245973472495e-11,1.4314197089006304,0.9999999913105412,0.9919935378286492,0.9999999954949547,0.9959841726504112
0.018,34.403699892051776,0.4000000250423671,0.4,-5.292365254285911e-11,1.4314197089002936,0.999999991311723,0.991993537829631,0.9999999954955383,0.9959841726511831
0.02,34.40369989004136,0.400000024995117,0.4,-5.876402564189861e-11,1.4314197088998402,0.9999999913130406,0.9919935378307245,0.9999999954961887,0.995984172652043
0.022,34.403699887820906,0.40000002494318054,0.4,-6.459226526568208e-11,1.43141970889925,0.9999999913144929,0.991993537831929,0.9999999954969051,0.9959841726529902
0.024,34.40369988539087,0.40000002488661035,0.4,-7.040728373070101e-11,1.4314197088985021,0.9999999913160795,0.9919935378332438,0.9999999954976873,0.9959841726540243
0.026,34.40369988275175,0.4000000248254579,0.4,-7.620800574834337e-11,1.4314197088975753,0.9999999913177992,0.9919935378346678,0.9999999954985346,0.9959841726551445
0.028,34.403699879904075,0.4000000247597751,0.4,-8.199336816549567e-11,1.4314197088964482,0.999999991319651,0.9919935378362003,0.9999999954994467,0.99598417265635
0.03,34.40369987684842,0.400000024689613,0.4,-8.776231992130998e-11,1.4314197088950995,0.9999999913216344,0.9919935378378402,0.9999999955004231,0.9959841726576403
0.032,34.403699873585396,0.4000000246150215,0.4,-9.351382186562547e-11,1.4314197088935081,0.9999999913237484,0.9919935378395869,0.9999999955014631,0.9959841726590146
0.034,34.403699870115645,0.4000000245360516,0.4,-9.92468467459984e-11,1.4314197088916532,0.9999999913259916,0.9919935378414393,0.9999999955025665,0.9959841726604723
0.036,34.40369986643986,0.40000002445275235,0.4,-1.0496037913420611e-10,1.4314197088895138,0.9999999913283636,0.9919935378433966,0.9999999955037324,0.9959841726620129
0.038,34.403699862558746,0.4000000243651738,0.4,-1.1065341521440545e-10,1.43141970888707,0.999999991330863,0.9919935378454577,0.9999999955049605,0.9959841726636353
0.04,34.40369985847307,0.4000000242733654,0.4,-1.163249628414972e-10,1.4314197088843017,0.999999991333489,0.9919935378476221,0.9999999955062503,0.9959841726653389
0.042,34.40369985418362,0.40000002417737546,0.4,-1.219740413984573e-10,1.4314197088811897,0.9999999913362407,0.9919935378498883,0.9999999955076011,0.9959841726671229
0.044,34.40369984969122,0.4000000240772527,0.4,-1.2759968181146834e-10,1.4314197088777154,0.9999999913391165,0.9919935378522559,0.9999999955090124,0.9959841726689869
0.046,34.40369984499673,0.4000000239730457,0.4,-1.3320092635104792e-10,1.4314197088738605,0.9999999913421159,0.9919935378547237,0.9999999955104839,0.9959841726709299
0.048,34.403699840101055,0.40000002386480266,0.4,-1.3877682871419125e-10,1.4314197088696072,0.9999999913452373,0.9919935378572904,0.9999999955120146,0.995984172672951
0.05,34.40369983500511,0.4000000237525715,0.4,-1.4432645389683382e-10,1.4314197088649385,0.9999999913484802,0.9919935378599557,0.9999999955136043,0.9959841726750499
0.052,34.40369982970987,0.40000002363639936,0.4,-1.4984887809657726e-10,1.4314197088598382,0.9999999913518428,0.991993537862718,0.9999999955152521,0.9959841726772254
0.054,34.40369982421633,0.4000000235163345,0.4,-1.553431888337417e-10,1.4314197088542904,0.9999999913553241,0.9919935378655763,0.9999999955169574,0.9959841726794767
0.056,34.40369981852551,0.400000023392424,0.4,-1.6080848473520073e-10,1.43141970884828,0.999999991358923,0.9919935378685301,0.99999999551872,0.9959841726818032
0.058,34.40369981263848,0.4000000232647157,0.4,-1.6624387560571596e-10,1.4314197088417928,0.9999999913626384,0.9919935378715778,0.9999999955205389,0.995984172684204
0.06,34.40369980655632,0.40000002313325606,0.4,-1.7164848235444088e-10,1.4314197088348146,0.9999999913664688,0.9919935378747188,0.9999999955224136,0.9959841726866784
0.062,34.403699800280165,0.40000002299809223,0.4,-1.7702143698843598e-10,1.4314197088273324,0.9999999913704131,0.9919935378779516,0.9999999955243434,0.9959841726892253
0.064,34.403699793811164,0.4000000228592718,0.4,-1.8236188251971773e-10,1.4314197088193334,0.9999999913744703,0.9919935378812756,0.9999999955263279,0.9959841726918442
0.066,34.40369978715051,0.4000000227168405,0.4,-1.876689730517246e-10,1.4314197088108058,0.9999999913786384,0.9919935378846896,0.9999999955283664,0.9959841726945342
0.068,34.40369978029941,0.4000000225708458,0.4,-1.929418737014977e-10,1.4314197088017384,0.9999999913829168,0.9919935378881923,0.999999995530458,0.9959841726972942
0.07,34.40369977325911,0.40000002242133426,0.4,-1.9817976054996284e-10,1.4314197087921203,0.9999999913873039,0.9919935378917828,0.9999999955326023,0.9959841727001234
0.072,34.4036997660309,0.4000000222683526,0.4,-2.0338182063328388e-10,1.4314197087819414,0.9999999913917983,0.99199353789546,0.9999999955347987,0.9959841727030212
0.074,34.403699758616064,0.4000000221119473,0.4,-2.0854725198393425e-10,1.431419708771192,0.9999999913963991,0.9919935378992226,0.9999999955370462,0.9959841727059865
0.076,34.40369975101594,0.40000002195216505,0.4,-2.1367526360691856e-10,1.431419708759863,0.9999999914011041,0.9919935379030697,0.9999999955393445,0.9959841727090185
0.078,34.4036997432319,0.40000002178905164,0.4,-2.1876507542140821e-10,1.4314197087479463,0.9999999914059123,0.9919935379070001,0.9999999955416926,0.9959841727121161
0.08,34.40369973526532,0.4000000216226545,0.4,-2.2381591823263994e-10,1.431419708735434,0.9999999914108224,0.9919935379110124,0.9999999955440901,0.9959841727152787
0.082,34.403699727117626,0.4000000214530197,0.4,-2.2882703389836277e-10,1.4314197087223184,0.999999991415833,0.9919935379151058,0.9999999955465361,0.9959841727185051
0.084,34.403699718790264,0.4000000212801939,0.4,-2.3379767512996635e-10,1.431419708708593,0.9999999914209426,0.9919935379192792,0.9999999955490302,0.995984172721795
0.086,34.40369971028469,0.40000002110422295,0.4,-2.387271055097741e-10,1.431419708694251,0.9999999914261499,0.9919935379235311,0.9999999955515712,0.9959841727251465
0.088,34.40369970160241,0.40000002092515347,0.4,-2.4361459964019703e-10,1.431419708679287,0.9999999914314528,0.9919935379278605,0.9999999955541589,0.9959841727285594
0.09,34.40369969274495,0.40000002074303265,0.4,-2.4845944291243725e-10,1.4314197086636955,0.9999999914368506,0.9919935379322662,0.9999999955567922,0.9959841727320327
0.092,34.40369968371385,0.4000000205579061,0.4,-2.5326093180263394e-10,1.4314197086474714,0.9999999914423415,0.9919935379367469,0.9999999955594707,0.995984172735565
0.094,34.4036996745107,0.40000002036982113,0.4,-2.580183736254353e-10,1.4314197086306104,0.9999999914479241,0.9919935379413017,0.9999999955621934,0.995984172739156
0.096,34.40369966513707,0.4000000201788236,0.4,-2.627310866572126e-10,1.4314197086131084,0.9999999914535967,0.991993537945929,0.9999999955649599,0.9959841727428042
0.098,34.40369965559461,0.40000001998496004,0.4,-2.6739840005175574e-10,1.4314197085949618,0.9999999914593578,0.9919935379506281,0.9999999955677692,0.995984172746509
0.1,34.40369964588494,0.40000001978827765,0.4,-2.7201965395051767e-10,1.4314197085761673,0.9999999914652061,0.9919935379553975,0.9999999955706207,0.9959841727502693
0.102,34.40369963600975,0.40000001958882175,0.4,-2.765941993810164e-10,1.431419708556722,0.9999999914711397,0.9919935379602356,0.9999999955735134,0.9959841727540839
0.104,34.403699625970724,0.4000000193866399,0.4,-2.8112139834113993e-10,1.4314197085366236,0.9999999914771573,0.9919935379651417,0.9999999955764469,0.9959841727579521
0.106,34.40369961576958,0.4000000191817787,0.4,-2.8560062377104413e-10,1.4314197085158702,0.9999999914832572,0.9919935379701142,0.9999999955794203,0.9959841727618729
0.108,34.403699605408065,0.4000000189742848,0.4,-2.900312595877396e-10,1.43141970849446,0.999999991489438,0.9919935379751522,0.9999999955824329,0.9959841727658453
0.11,34.40369959488792,0.4000000187642049,0.4,-2.9441270072832457e-10,1.4314197084723914,0.9999999914956982,0.9919935379802542,0.9999999955854838,0.9959841727698684
0.112,34.40369958421094,0.40000001855158557,0.4,-2.987443530202858e-10,1.4314197084496638,0.9999999915020356,0.9919935379854191,0.9999999955885724,0.9959841727739408
0.114,34.40369957337894,0.4000000183364735,0.4,-3.030256333047127e-10,1.4314197084262765,0.9999999915084491,0.9919935379906455,0.9999999955916979,0.9959841727780621
0.116,34.40369956239371,0.400000018118916,0.4,-3.0725596941468087e-10,1.431419708402229,0.9999999915149369,0.9919935379959322,0.9999999955948595,0.9959841727822307
0.118,34.40369955125712,0.4000000178989594,0.4,-3.1143480016444377e-10,1.4314197083775215,0.9999999915214973,0.991993538001278,0.9999999955980565,0.995984172786446
0.12,34.40369953997103,0.40000001767665105,0.4,-3.1556157541860553e-10,1.431419708352154,0.9999999915281294,0.9919935380066813,0.9999999956012879,0.9959841727907068
0.122,34.40369952853732,0.4000000174520372,0.4,-3.196357560380797e-10,1.4314197083261273,0.9999999915348303,0.9919935380121412,0.9999999956045532,0.9959841727950123
0.124,34.40369951695789,0.40000001722516565,0.4,-3.2365681380226995e-10,1.4314197082994422,0.9999999915415994,0.9919935380176563,0.9999999956078516,0.995984172799361
0.126,34.40369950523467,0.40000001699608323,0.4,-3.276242316965693e-10,1.4314197082721,0.9999999915484348,0.9919935380232252,0.9999999956111821,0.9959841728037526
0.128,34.4036994933696,0.40000001676483643,0.4,-3.315375036378307e-10,1.431419708244102,0.9999999915553345,0.9919935380288468,0.9999999956145441,0.9959841728081854
0.13,34.403699481364626,0.40000001653147294,0.4,-3.353961346062277e-10,1.43141970821545,0.9999999915622972,0.9919935380345196,0.9999999956179367,0.9959841728126586
0.132,34.40369946922174,0.40000001629603943,0.4,-3.391996405890516e-10,1.431419708186146,0.999999991569321,0.9919935380402424,0.9999999956213592,0.9959841728171713
0.134,34.403699456942924,0.40000001605858343,0.4,-3.429475486671772e-10,1.431419708156192,0.9999999915764044,0.9919935380460139,0.9999999956248108,0.9959841728217224
0.136,34.40369944453019,0.40000001581915184,0.4,-3.4663939701290147e-10,1.4314197081255904,0.9999999915835458,0.9919935380518329,0.9999999956282909,0.9959841728263109
0.138,34.40369943198557,0.4000000155777919,0.4,-3.5027473480563894e-10,1.431419708094344,0.999999991590743,0.9919935380576977,0.9999999956317982,0.9959841728309354
0.14,34.403699419311096,0.4000000153345508,0.4,-3.538531223400043e-10,1.431419708062456,0.9999999915979949,0.9919935380636075,0.9999999956353324,0.9959841728355955
0.142,34.403699406508835,0.40000001508947586,0.4,-3.5737413093069986e-10,1.4314197080299291,0.9999999916052997,0.9919935380695607,0.9999999956388924,0.9959841728402896
0.144,34.40369939358086,0.400000014842614,0.4,-3.6083734297952665e-10,1.431419707996767,0.9999999916126555,0.9919935380755559,0.9999999956424774,0.9959841728450168
0.146,34.40369938052925,0.40000001459401324,0.4,-3.642423520359105e-10,1.431419707962973,0.999999991620061,0.991993538081592,0.9999999956460869,0.9959841728497763
0.148,34.403699367356104,0.4000000143437196,0.4,-3.675887626196469e-10,1.4314197079285509,0.9999999916275139,0.9919935380876674,0.9999999956497198,0.9959841728545668
0.15,34.403699354063555,0.40000001409178193,0.4,-3.7087619039815625e-10,1.4314197078935047,0.9999999916350131,0.9919935380937812,0.9999999956533754,0.9959841728593872
0.152,34.40369934065373,0.40000001383824607,0.4,-3.741042621583824e-10,1.4314197078578388,0.9999999916425565,0.9919935380999318,0.999999995657053,0.9959841728642368
0.154,34.40369932712876,0.4000000135831603,0.4,-3.772726156684471e-10,1.4314197078215571,0.9999999916501424,0.991993538106118,0.9999999956607515,0.9959841728691141
0.156,34.40369931349082,0.4000000133265716,0.4,-3.8038089987435996e-10,1.4314197077846647,0.9999999916577694,0.9919935381123384,0.9999999956644705,0.9959841728740184
0.158,34.403699299742065,0.40000001306852684,0.4,-3.83428774781128e-10,1.4314197077471658,0.9999999916654354,0.9919935381185915,0.9999999956682089,0.9959841728789485
0.16,34.40369928588468,0.4000000128090741,0.4,-3.864159114895035e-10,1.4314197077090653,0.9999999916731392,0.9919935381248762,0.999999995671966,0.9959841728839033
0.162,34.40369927192086,0.40000001254826023,0.4,-3.8934199210519466e-10,1.4314197076703687,0.9999999916808787,0.9919935381311913,0.999999995675741,0.9959841728888819
0.164,34.40369925785279,0.40000001228613236,0.4,-3.9220670985343327e-10,1.431419707631081,0.9999999916886526,0.9919935381375353,0.9999999956795331,0.9959841728938831
0.166,34.40369924368271,0.4000000120227376,0.4,-3.9500976896224544e-10,1.4314197075912076,0.9999999916964587,0.9919935381439067,0.9999999956833415,0.9959841728989061
0.168,34.40369922941283,0.4000000117581231,0.4,-3.9775088478998893e-10,1.431419707550754,0.9999999917042954,0.9919935381503046,0.9999999956871654,0.9959841729039495
0.17,34.40369921504539,0.4000000114923368,0.4,-4.004297837302407e-10,1.431419707509726,0.9999999917121615,0.9919935381567274,0.9999999956910041,0.9959841729090124
0.172,34.403699200582636,0.4000000112254247,0.4,-4.03046203179372e-10,1.4314197074681292,0.9999999917200547,0.9919935381631737,0.9999999956948563,0.9959841729140938
0.174,34.40369918602681,0.4000000109574348,0.4,-4.0559989159491305e-10,1.4314197074259698,0.9999999917279736,0.9919935381696424,0.9999999956987219,0.9959841729191926
0.176,34.4036991713802,0.4000000106884135,0.4,-4.08090608415572e-10,1.431419707383254,0.9999999917359162,0.991993538176132,0.9999999957025997,0.9959841729243079
0.178,34.40369915664505,0.40000001041840855,0.4,-4.105181241325692e-10,1.431419707339988,0.9999999917438815,0.9919935381826415,0.9999999957064891,0.9959841729294384
0.18,34.40369914182365,0.40000001014746595,0.4,-4.128822202226263e-10,1.431419707296178,0.9999999917518673,0.9919935381891692,0.9999999957103891,0.9959841729345834
0.182,34.40369912691829,0.4000000098756336,0.4,-4.1518268913283456e-10,1.4314197072518309,0.9999999917598718,0.9919935381957141,0.999999995714299,0.9959841729397415
0.184,34.40369911193126,0.4000000096029575,0.4,-4.174193343195645e-10,1.431419707206953,0.9999999917678936,0.9919935382022749,0.999999995718218,0.9959841729449118
0.186,34.40369909686487,0.40000000932948476,0.4,-4.1959197009498906e-10,1.4314197071615513,0.9999999917759309,0.9919935382088497,0.9999999957221453,0.9959841729500932
0.188,34.40369908172141,0.4000000090552619,0.4,-4.2170042178272193e-10,1.4314197071156327,0.9999999917839821,0.9919935382154381,0.9999999957260802,0.995984172955285
0.19,34.40369906650321,0.4000000087803355,0.4,-4.237445255578559e-10,1.431419707069204,0.9999999917920455,0.9919935382220382,0.9999999957300217,0.9959841729604859
0.192,34.40369905121258,0.4000000085047522,0.4,-4.2572412852478205e-10,1.4314197070222727,0.9999999918001193,0.9919935382286488,0.9999999957339692,0.9959841729656946
