Time(s); gENROE.delta; gENROE.PELEC; iEEEX1_1.EFD; gENROE.PMECH; gENROE.SPEED; GEN1.V; LOAD.V; GEN2.V; FAULT.V
-0.01; 34.4037; 0.4; 1.43142; 0.4; 0; 0.272457; 1; 0.991993; 1
-0.005; 34.4037; 0.4; 1.43142; 0.4; 2.61118e-11; 0.272457; 1; 0.991993; 1
0; 34.4037; 0.4; 1.43142; 0.4; 4.35197e-11; 0.272457; 1; 0.991993; 1
0.005; 34.4037; 0.4; 1.43142; 0.4; 6.09276e-11; 0.272457; 1; 0.991993; 1
0.01; 34.4037; 0.4; 1.43142; 0.4; 7.83355e-11; 0.272457; 1; 0.991993; 1
0.015; 34.4037; 0.4; 1.43142; 0.4; 9.57434e-11; 0.272457; 1; 0.991993; 1
0.02; 34.4037; 0.4; 1.43142; 0.4; 1.13151e-10; 0.272457; 1; 0.991993; 1
0.025; 34.4037; 0.4; 1.43142; 0.4; 1.30559e-10; 0.272457; 1; 0.991993; 1
0.03; 34.4037; 0.4; 1.43142; 0.4; 1.47967e-10; 0.272457; 1; 0.991993; 1
0.035; 34.4037; 0.4; 1.43142; 0.4; 1.65375e-10; 0.272457; 1; 0.991993; 1
0.04; 34.4037; 0.4; 1.43142; 0.4; 1.82783e-10; 0.272457; 1; 0.991993; 1
0.045; 34.4037; 0.4; 1.43142; 0.4; 2.00191e-10; 0.272457; 1; 0.991993; 1
0.05; 34.4037; 0.4; 1.43142; 0.4; 2.17599e-10; 0.272457; 1; 0.991993; 1
0.055; 34.4037; 0.4; 1.43142; 0.4; 2.35007e-10; 0.272457; 1; 0.991993; 1
0.06; 34.4037; 0.4; 1.43142; 0.4; 2.52415e-10; 0.272457; 1; 0.991993; 1
0.065; 34.4037; 0.4; 1.43142; 0.4; 2.69822e-10; 0.272457; 1; 0.991993; 1
0.07; 34.4037; 0.4; 1.43142; 0.4; 2.8723e-10; 0.272457; 1; 0.991993; 1
0.075; 34.4037; 0.4; 1.43142; 0.4; 3.04638e-10; 0.272457; 1; 0.991993; 1
0.08; 34.4037; 0.4; 1.43142; 0.4; 3.22046e-10; 0.272457; 1; 0.991993; 1
0.085; 34.4037; 0.4; 1.43142; 0.4; 3.39454e-10; 0.272457; 1; 0.991993; 1
