Time(s); generator.delta; generator.PELEC; eSST4B.EFD; generator.PMECH; generator.SPEED; GEN1.V; LOAD.V; GEN2.V; FAULT.V
-0.01; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
-0.005; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.005; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.01; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.015; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.02; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.025; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.03; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.035; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.04; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.045; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.05; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.055; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.06; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.065; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.07; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.075; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.08; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.085; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.09; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.095; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.1; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.105; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.11; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.115; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.12; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.125; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.13; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.135; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.14; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.145; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.15; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.155; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
0.16; 34.3342; 0.4; 1.43511; 0.4; 0; 1; 0.991994; 1; 0.995984
