Time,gENROU.delta,gENROU.PELEC,eSAC2A.EFD,gENROU.PMECH,gENROU.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
-0.0166667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.0156667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.0146667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.0136667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.0126667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.0116667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.0106667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.00966667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.00866667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.00766667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.00666667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.00566667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.00466667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.00366667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.00266667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.00166667, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
-0.000666665, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.000333335, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.00133333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.00233334, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.00333334, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.00433334, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.00533334, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.00633334, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.00733334, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.00833334, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.00933334, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0103333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0113333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0123333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0133333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0143333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0153333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0163333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0173333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0183333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0193333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0203333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0213333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0223333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
0.0233333, 28.846, 0.4, 1.32748, 0.4, 0, 1, 0.991994, 1, 0.995984
