Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,eSAC2A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.84595,0.3999996,0.3999995291233063,0.0,1.3274746,1.0,0.99199355,1.0,0.99598414
0.002,28.84595,0.3999996,0.3999995291233063,-1.6575102e-11,1.3274746,1.0,0.99199355,1.0,0.99598414
0.004,28.84595,0.3999996,0.3999995291233063,-3.314487e-11,1.3274746,1.0,0.99199355,1.0,0.99598414
0.006,28.84595,0.3999996,0.3999995291233063,-4.9705677e-11,1.3274746,1.0,0.99199355,1.0,0.99598414
0.008,28.84595,0.3999996,0.3999995291233063,-6.6253926e-11,1.3274746,1.0,0.99199355,1.0,0.99598414
0.008,28.84595,0.3999996,0.3999995291233063,-6.6253926e-11,1.3274746,1.0,0.99199355,1.0,0.99598414
0.01,28.84595,0.3999996,0.3999995291233063,-8.278606e-11,1.3274746,1.0,0.99199355,1.0,0.99598414
0.012,28.84595,0.3999996,0.3999995291233063,-9.929857e-11,1.3274746,1.0,0.99199355,1.0,0.99598414
0.014,28.84595,0.3999996,0.3999995291233063,-1.15787956e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.016,28.84595,0.3999996,0.3999995291233063,-1.3225077e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.018,28.84595,0.3999996,0.3999995291233063,-1.4868361e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.02,28.84595,0.3999996,0.3999995291233063,-1.6508309e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.022,28.84595,0.3999996,0.3999995291233063,-1.8144586e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.024,28.84595,0.3999996,0.3999995291233063,-1.9776862e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.026,28.84595,0.3999996,0.3999995291233063,-2.140481e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.028,28.84595,0.3999996,0.3999995291233063,-2.3028103e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.03,28.84595,0.3999996,0.3999995291233063,-2.4646424e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.032,28.84595,0.3999996,0.3999995291233063,-2.6259453e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.034,28.84595,0.3999996,0.3999995291233063,-2.7866878e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.036,28.84595,0.3999996,0.3999995291233063,-2.946839e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.038,28.84595,0.3999996,0.3999995291233063,-3.1063677e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.04,28.84595,0.3999996,0.3999995291233063,-3.265244e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.042,28.84595,0.3999996,0.3999995291233063,-3.4234374e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.044,28.84595,0.3999996,0.3999995291233063,-3.5809186e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.046,28.84595,0.3999996,0.3999995291233063,-3.7376582e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.048,28.84595,0.3999996,0.3999995291233063,-3.893627e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.05,28.84595,0.3999996,0.3999995291233063,-4.0487966e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.052,28.84595,0.3999996,0.3999995291233063,-4.2031384e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.054,28.84595,0.3999996,0.3999995291233063,-4.3566245e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.056,28.84595,0.3999996,0.3999995291233063,-4.509227e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.058,28.84595,0.3999996,0.3999995291233063,-4.660919e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.06,28.84595,0.3999996,0.3999995291233063,-4.811673e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.062,28.84595,0.3999996,0.3999995291233063,-4.9614624e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.064,28.84595,0.3999996,0.3999995291233063,-5.110261e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.066,28.84595,0.3999996,0.3999995291233063,-5.258043e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.068,28.84595,0.3999996,0.3999995291233063,-5.404783e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.07,28.84595,0.3999996,0.3999995291233063,-5.5504545e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.072,28.84595,0.3999996,0.3999995291233063,-5.6950333e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.074,28.84595,0.3999996,0.3999995291233063,-5.838495e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.076,28.84595,0.3999996,0.3999995291233063,-5.9808153e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.078,28.84595,0.3999996,0.3999995291233063,-6.1219696e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.08,28.84595,0.3999996,0.3999995291233063,-6.2619343e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.082,28.84595,0.3999996,0.3999995291233063,-6.4006866e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.084,28.84595,0.3999996,0.3999995291233063,-6.538204e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.086,28.84595,0.3999996,0.3999995291233063,-6.6744626e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.088,28.84595,0.3999996,0.3999995291233063,-6.8094413e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.09,28.84595,0.3999996,0.3999995291233063,-6.943118e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.092,28.84595,0.3999996,0.3999995291233063,-7.07547e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.094,28.84595,0.3999996,0.3999995291233063,-7.2064776e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.096,28.84595,0.3999996,0.3999995291233063,-7.3361195e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.098,28.84595,0.3999996,0.3999995291233063,-7.4643747e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.1,28.84595,0.3999996,0.3999995291233063,-7.591223e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.102,28.84595,0.3999996,0.3999995291233063,-7.7166457e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.104,28.84595,0.3999996,0.3999995291233063,-7.840622e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.106,28.84595,0.3999996,0.3999995291233063,-7.963134e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.108,28.84595,0.3999996,0.3999995291233063,-8.0841617e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.11,28.84595,0.3999996,0.3999995291233063,-8.203688e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.112,28.84595,0.3999996,0.3999995291233063,-8.3216933e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.114,28.84595,0.3999996,0.3999995291233063,-8.4381613e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.116,28.84595,0.3999996,0.3999995291233063,-8.553074e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.118,28.84595,0.3999996,0.3999995291233063,-8.666414e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.12,28.84595,0.3999996,0.3999995291233063,-8.778166e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.122,28.84595,0.39999956,0.3999995291233063,-8.888313e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.124,28.84595,0.39999956,0.3999995291233063,-8.996838e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.126,28.84595,0.39999956,0.3999995291233063,-9.103727e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.128,28.845945,0.39999956,0.3999995291233063,-9.2089647e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.13,28.845945,0.39999956,0.3999995291233063,-9.312536e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.132,28.845945,0.39999956,0.3999995291233063,-9.414425e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.134,28.845945,0.39999956,0.3999995291233063,-9.51462e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.136,28.845945,0.39999956,0.3999995291233063,-9.613106e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.138,28.845945,0.39999956,0.3999995291233063,-9.709868e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.14,28.845945,0.39999956,0.3999995291233063,-9.804897e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.142,28.845945,0.39999956,0.3999995291233063,-9.898177e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.144,28.845945,0.39999956,0.3999995291233063,-9.989696e-10,1.3274746,1.0,0.99199355,1.0,0.99598414
0.146,28.845945,0.39999956,0.3999995291233063,-1.0079444e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.148,28.845945,0.39999956,0.3999995291233063,-1.0167407e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.15,28.845945,0.39999956,0.3999995291233063,-1.0253576e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.152,28.845945,0.39999956,0.3999995291233063,-1.0337938e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.154,28.845945,0.39999956,0.3999995291233063,-1.0420486e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.156,28.845945,0.39999956,0.3999995291233063,-1.0501205e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.158,28.845945,0.39999956,0.3999995291233063,-1.0580089e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.16,28.845945,0.39999956,0.3999995291233063,-1.0657127e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.162,28.845945,0.39999956,0.3999995291233063,-1.0732311e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.164,28.845945,0.39999956,0.3999995291233063,-1.0805631e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.166,28.845945,0.39999956,0.3999995291233063,-1.087708e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.168,28.845945,0.39999956,0.3999995291233063,-1.0946649e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.17,28.845945,0.39999956,0.3999995291233063,-1.1014332e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.172,28.845945,0.39999956,0.3999995291233063,-1.108012e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.174,28.845945,0.39999956,0.3999995291233063,-1.1144008e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.176,28.845945,0.39999956,0.3999995291233063,-1.1205987e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.178,28.845945,0.39999956,0.3999995291233063,-1.1266054e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
0.18,28.845945,0.39999956,0.3999995291233063,-1.13242e-09,1.3274746,1.0,0.99199355,1.0,0.99598414
