Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSDC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.4037,0.40000004,0.4000000059604645,0.0,1.4314197,1.0,0.99199355,1.0,0.9959842
0.002,34.4037,0.40000004,0.4000000059604645,-5.8987403e-12,1.4314197,1.0,0.99199355,1.0,0.9959842
0.004,34.4037,0.40000004,0.4000000059604645,-1.1795707e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.006,34.4037,0.40000004,0.4000000059604645,-1.7689695e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.008,34.4037,0.40000004,0.4000000059604645,-2.3579515e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.01,34.4037,0.40000004,0.4000000059604645,-2.9463987e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.012,34.4037,0.40000004,0.4000000059604645,-3.534195e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.014,34.4037,0.40000004,0.4000000059604645,-4.1212252e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.016,34.4037,0.40000004,0.4000000059604645,-4.707375e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.018,34.4037,0.40000004,0.4000000059604645,-5.2925327e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.02,34.4037,0.40000004,0.4000000059604645,-5.876587e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.022,34.4037,0.40000004,0.4000000059604645,-6.459427e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.024,34.4037,0.40000004,0.4000000059604645,-7.040944e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.026,34.4037,0.40000004,0.4000000059604645,-7.6210316e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.028,34.4037,0.40000004,0.4000000059604645,-8.199583e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.03,34.4037,0.40000004,0.4000000059604645,-8.776493e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.032,34.4037,0.40000004,0.4000000059604645,-9.351657e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.034,34.4037,0.40000004,0.4000000059604645,-9.924973e-11,1.4314197,1.0,0.99199355,1.0,0.9959842
0.036,34.4037,0.40000004,0.4000000059604645,-1.04963406e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.038,34.4037,0.40000004,0.4000000059604645,-1.10656574e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.04,34.4037,0.40000004,0.4000000059604645,-1.1632825e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.042,34.4037,0.40000004,0.4000000059604645,-1.2197746e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.044,34.4037,0.40000004,0.4000000059604645,-1.2760322e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.046,34.4037,0.40000004,0.4000000059604645,-1.3320459e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.048,34.4037,0.40000004,0.4000000059604645,-1.387806e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.05,34.4037,0.40000004,0.4000000059604645,-1.4433034e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.052,34.4037,0.40000004,0.4000000059604645,-1.4985288e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.054,34.4037,0.40000004,0.4000000059604645,-1.553473e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.056,34.4037,0.40000004,0.4000000059604645,-1.608127e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.058,34.4037,0.40000004,0.4000000059604645,-1.662482e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.06,34.4037,0.40000004,0.4000000059604645,-1.7165291e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.062,34.4037,0.40000004,0.4000000059604645,-1.7702596e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.064,34.4037,0.40000004,0.4000000059604645,-1.8236651e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.066,34.4037,0.40000004,0.4000000059604645,-1.876737e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.068,34.4037,0.40000004,0.4000000059604645,-1.929467e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.07,34.4037,0.40000004,0.4000000059604645,-1.9818469e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.072,34.4037,0.40000004,0.4000000059604645,-2.0338684e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.074,34.4037,0.40000004,0.4000000059604645,-2.0855237e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.076,34.4037,0.40000004,0.4000000059604645,-2.1368048e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.078,34.4037,0.40000004,0.4000000059604645,-2.1877039e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.08,34.4037,0.40000004,0.4000000059604645,-2.2382132e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.082,34.4037,0.40000004,0.4000000059604645,-2.2883254e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.084,34.4037,0.40000004,0.4000000059604645,-2.3380328e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.086,34.4037,0.40000004,0.4000000059604645,-2.387328e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.088,34.4037,0.40000004,0.4000000059604645,-2.436204e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.09,34.4037,0.4,0.4000000059604645,-2.4846536e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.092,34.4037,0.4,0.4000000059604645,-2.5326696e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.094,34.4037,0.4,0.4000000059604645,-2.5802452e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.096,34.4037,0.4,0.4000000059604645,-2.6273736e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.098,34.4037,0.4,0.4000000059604645,-2.674048e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.1,34.4037,0.4,0.4000000059604645,-2.7202615e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.102,34.4037,0.4,0.4000000059604645,-2.7660083e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.104,34.4037,0.4,0.4000000059604645,-2.8112818e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.106,34.4037,0.4,0.4000000059604645,-2.8560754e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.108,34.4037,0.4,0.4000000059604645,-2.9003833e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.11,34.4037,0.4,0.4000000059604645,-2.944199e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.112,34.4037,0.4,0.4000000059604645,-2.9875175e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.114,34.4037,0.4,0.4000000059604645,-3.0303318e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
